7: Kazalniki bolniškega staleža po spolu in starosti, Slovenija, letno po spremenljivkah: Leto, Spol, Starost in Kazalnik;;;;;;;;
;;;;;;;;
;;;Primeri;Koledarski dnevi;Odstotek BS (% BS);Izgubljeni koledarski dnevi na zaposlenega (IO);Število primerov na 100 zaposlenih (IF);Povpre?no trajanje ene odsotnosti (R)
;;15 do 19 let;456;4362;2;6;65;10
;;20 do 24 let;13856;186785;4;13;96;14
;;25 do 29 let;55904;796371;4;16;111;14
;;30 do 34 let;89631;1159616;5;19;143;13
;;35 do 39 let;81652;1009763;5;17;135;12
;;40 do 44 let;66417;1056405;4;16;101;16
;;45 do 49 let;53748;1201656;5;19;86;22
;;50 do 54 let;46786;1303231;7;24;87;28
;;55 do 59 let;16278;496966;8;28;92;31
;;60 do 64 let;1145;36967;6;23;71;32
;;65 do 69 let;118;4127;5;19;55;35
;;70 in ve? let;9;177;1;5;26;20
;;Neznano;3;10;-;-;-;-
2009;Spol - SKUPAJ;Starost-SKUPAJ;742342;13325384;4;15;85;18
;;15 do 19 let;1158;11722;2;6;57;10
;;20 do 24 let;31109;403369;3;10;80;13
;;25 do 29 let;95699;1271857;3;12;90;13
;;30 do 34 let;147372;1818795;4;14;109;12
;;35 do 39 let;133921;1673032;4;13;104;13
;;40 do 44 let;108867;1828820;4;14;81;17
;;45 do 49 let;91274;2078023;4;16;69;23
;;50 do 54 let;81176;2370016;6;20;69;29
;;55 do 59 let;44942;1572863;7;24;68;35
;;60 do 64 let;6390;281962;7;25;56;44
;;65 do 69 let;358;13465;3;12;31;38
;;70 in ve? let;54;1377;2;5;21;26
;;Neznano;22;83;-;-;-;-
;Moški;Starost-SKUPAJ;306692;6356501;4;13;63;21
;;15 do 19 let;882;8929;2;6;57;10
;;20 do 24 let;19373;244794;3;9;72;13
;;25 do 29 let;41183;532463;3;9;69;13
;;30 do 34 let;53135;684407;3;9;73;13
;;35 do 39 let;47481;704240;3;10;68;15
;;40 do 44 let;41870;816214;3;12;60;20
;;45 do 49 let;36848;944253;4;14;54;26
;;50 do 54 let;34128;1127042;5;18;55;33
;;55 do 59 let;26584;1049279;6;23;57;40
;;60 do 64 let;4916;233667;7;25;52;48
;;65 do 69 let;247;10371;3;11;27;42
;;70 in ve? let;32;802;1;4;15;25
;;Neznano;13;40;-;-;-;-
;Ženske;Starost-SKUPAJ;435650;6968883;5;18;113;16
;;15 do 19 let;276;2793;2;6;58;10
;;20 do 24 let;11736;158575;4;13;97;14
;;25 do 29 let;54516;739394;4;16;116;14
;;30 do 34 let;94237;1134388;5;18;152;12
;;35 do 39 let;86440;968792;4;16;144;11
;;40 do 44 let;66997;1012606;4;16;105;15
;;45 do 49 let;54426;1133770;5;18;87;21
;;50 do 54 let;47048;1242974;6;23;86;26
;;55 do 59 let;18358;523584;7;27;94;29
;;60 do 64 let;1474;48295;7;26;79;33
;;65 do 69 let;111;3094;4;15;52;28
;;70 in ve? let;22;575;4;14;55;26
;;Neznano;9;43;-;-;-;-
2010;Spol - SKUPAJ;Starost-SKUPAJ;729004;12808242;4;15;85;18
;;15 do 19 let;871;9416;2;5;50;11
;;20 do 24 let;25622;337126;3;10;73;13
;;25 do 29 let;87739;1153980;3;11;87;13
;;30 do 34 let;146300;1737962;4;13;110;12
;;35 do 39 let;136046;1648477;4;13;104;12
;;40 do 44 let;105768;1694310;4;13;82;16
;;45 do 49 let;92016;2034998;4;15;70;22
;;50 do 54 let;80619;2283566;5;20;69;28
;;55 do 59 let;46707;1608122;7;25;71;34
;;60 do 64 let;6877;288661;7;26;62;42
;;65 do 69 let;359;9557;3;9;35;27
;;70 in ve? let;59;1970;2;7;21;33
;;Neznano;21;97;-;-;-;-
;Moški;Starost-SKUPAJ;294406;6141037;4;13;62;21
;;15 do 19 let;656;7428;2;6;50;11
;;20 do 24 let;15585;204775;2;9;65;13
;;25 do 29 let;36848;484489;2;9;65;13
;;30 do 34 let;51505;662110;3;9;72;13
;;35 do 39 let;47798;699964;3;10;69;15
;;40 do 44 let;40216;776407;3;11;59;19
;;45 do 49 let;36694;947553;4;14;53;26
;;50 do 54 let;32980;1063887;5;17;54;32
;;55 do 59 let;26630;1043613;6;23;59;39
;;60 do 64 let;5202;241873;7;26;57;47
;;65 do 69 let;238;7285;2;9;28;31
;;70 in ve? let;48;1611;2;7;20;34
;;Neznano;6;42;-;-;-;-
;Ženske;Starost-SKUPAJ;434598;6667205;5;18;114;15
;;15 do 19 let;215;1988;1;5;49;9
;;20 do 24 let;10037;132351;3;12;90;13
;;25 do 29 let;50891;669491;4;15;114;13
;;30 do 34 let;94795;1075852;5;18;154;11
;;35 do 39 let;88248;948513;4;16;146;11
;;40 do 44 let;65552;917903;4;15;107;14
;;45 do 49 let;55322;1087445;5;17;87;20
;;50 do 54 let;47639;1219679;6;22;87;26
;;55 do 59 let;20077;564509;8;28;100;28
;;60 do 64 let;1675;46788;7;24;87;28
;;65 do 69 let;121;2272;3;12;64;19
;;70 in ve? let;11;359;3;10;31;33
;;Neznano;15;55;-;-;-;-
2011;Spol - SKUPAJ;Starost-SKUPAJ;734523;12539064;4;15;87;17
;;15 do 19 let;768;6953;1;4;47;9
;;20 do 24 let;24700;313240;3;10;78;13
;;25 do 29 let;84387;1101166;3;12;89;13
;;30 do 34 let;148802;1717380;4;13;114;12
;;35 do 39 let;143989;1648753;3;13;110;12
;;40 do 44 let;107970;1608787;4;13;85;15
;;45 do 49 let;93081;2002842;4;15;70;22
;;50 do 54 let;80191;2278639;5;20;69;28
;;55 do 59 let;44328;1583254;6;23;63;36
;;60 do 64 let;5901;263863;6;22;48;45
;;65 do 69 let;330;10502;2;9;27;32
;;70 in ve? let;76;3685;3;12;25;49
;;Neznano;-;-;-;-;-;-
;Moški;Starost-SKUPAJ;291123;5928524;3;13;62;20
;;15 do 19 let;587;5428;1;5;48;9
;;20 do 24 let;14835;191059;2;9;69;13
;;25 do 29 let;35313;463405;2;9;66;13
;;30 do 34 let;52059;662041;3;9;74;13
;;35 do 39 let;49816;689824;3;10;71;14
;;40 do 44 let;40761;728206;3;11;61;18
;;45 do 49 let;36569;905737;4;13;53;25
;;50 do 54 let;32335;1046997;5;17;53;32
;;55 do 59 let;24308;1013967;6;22;52;42
;;60 do 64 let;4256;210608;6;21;43;50
;;65 do 69 let;233;8322;2;8;23;36
;;70 in ve? let;51;2930;3;12;20;58
;;Neznano;-;-;-;-;-;-
;Ženske;Starost-SKUPAJ;443400;6610540;5;18;117;15
;;15 do 19 let;181;1525;1;4;43;8
;;20 do 24 let;9865;122181;3;12;97;12
;;25 do 29 let;49074;637761;4;15;119;13
;;30 do 34 let;96743;1055339;5;18;162;11
;;35 do 39 let;94173;958929;4;16;154;10
;;40 do 44 let;67209;880581;4;15;112;13
;;45 do 49 let;56512;1097105;5;17;89;19
;;50 do 54 let;47856;1231642;6;22;87;26
;;55 do 59 let;20020;569287;7;24;84;28
;;60 do 64 let;1645;53255;6;23;71;32
;;65 do 69 let;97;2180;3;9;42;23
;;70 in ve? let;25;755;4;14;45;30
;;Neznano;-;-;-;-;-;-
2012;Spol - SKUPAJ;Starost-SKUPAJ;723413;12354286;4;15;90;17
;;15 do 19 let;610;5776;1;4;42;10
;;20 do 24 let;20551;267425;3;10;75;13
;;25 do 29 let;77300;986527;3;11;88;13
;;30 do 34 let;145142;1644928;4;13;117;11
;;35 do 39 let;146190;1657646;4;13;114;11
;;40 do 44 let;107472;1570388;4;13;88;15
;;45 do 49 let;91935;1973102;4;15;72;22
;;50 do 54 let;80107;2272775;6;21;72;28
;;55 do 59 let;47267;1680149;8;29;80;36
;;60 do 64 let;6356;279952;8;28;63;44
;;65 do 69 let;412;12790;3;11;35;31
;;70 in ve? let;70;2825;3;12;29;40
;;Neznano;1;3;-;-;-;-
;Moški;Starost-SKUPAJ;282205;5836611;4;13;64;21
;;15 do 19 let;431;4266;1;4;40;10
;;20 do 24 let;12592;164773;2;9;68;13
;;25 do 29 let;32060;418984;2;8;64;13
;;30 do 34 let;50226;619443;3;9;74;12
;;35 do 39 let;50189;690062;3;10;73;14
;;40 do 44 let;39560;713162;3;11;62;18
;;45 do 49 let;35608;898030;4;14;54;25
;;50 do 54 let;31943;1056745;5;18;55;33
;;55 do 59 let;24691;1022183;7;27;65;41
;;60 do 64 let;4580;237102;8;30;58;52
;;65 do 69 let;272;9356;3;10;30;34
;;70 in ve? let;52;2502;4;14;28;48
;;Neznano;1;3;-;-;-;-
;Ženske;Starost-SKUPAJ;441208;6517675;5;18;123;15
